,session,exercise,name,user,url,commits,runs,completed,failed
291,07,11,07-11-kindergarten-garden-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-11-kindergarten-garden-dominikb1888,3,1,0,0
292,07,12,07-12-connect-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-12-connect-dominikb1888,3,1,0,0
293,07,13,07-13-simple-cipher-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-13-simple-cipher-dominikb1888,3,1,0,0
294,07,14,07-14-tree-building-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-14-tree-building-dominikb1888,3,1,0,0
295,07,15,07-15-grade-school-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-15-grade-school-dominikb1888,3,1,0,0
296,07,16,07-16-circular-buffer-dominikb1888,dominikb1888,https://github.com/DB-Teaching/07-16-circular-buffer-dominikb1888,3,1,0,0
297,08,01,08-01-grep-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-01-grep-dominikb1888,3,1,0,0
298,08,02,08-02-poker-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-02-poker-dominikb1888,3,1,0,0
299,08,03,08-03-rectangles-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-03-rectangles-dominikb1888,3,1,0,0
300,08,04,08-04-change-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-04-change-dominikb1888,3,1,0,0
301,08,05,08-05-all-your-base-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-05-all-your-base-dominikb1888,3,1,0,0
302,08,06,08-06-diffie-hellman-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-06-diffie-hellman-dominikb1888,3,1,0,0
303,08,07,08-07-variable-length-quantity-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-07-variable-length-quantity-dominikb1888,3,1,0,0
304,08,08,08-08-largest-series-product-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-08-largest-series-product-dominikb1888,3,1,0,0
305,08,09,08-09-ocr-numbers-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-09-ocr-numbers-dominikb1888,3,1,0,0
306,08,10,08-10-rail-fence-cipher-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-10-rail-fence-cipher-dominikb1888,3,1,0,0
307,08,11,08-11-food-chain-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-11-food-chain-dominikb1888,3,1,0,0
308,08,12,08-12-saddle-points-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-12-saddle-points-dominikb1888,3,1,0,0
309,08,13,08-13-protein-translation-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-13-protein-translation-dominikb1888,3,1,0,0
310,08,15,08-15-scrabble-score-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-15-scrabble-score-dominikb1888,3,1,0,0
311,08,16,08-16-markdown-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-16-markdown-dominikb1888,3,1,1,1
312,08,17,08-17-isogram-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-17-isogram-dominikb1888,3,1,0,0
313,08,18,08-18-word-count-dominikb1888,dominikb1888,https://github.com/DB-Teaching/08-18-word-count-dominikb1888,3,1,0,0
314,09,01,09-01-affine-cipher-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-01-affine-cipher-dominikb1888,3,1,0,0
315,09,02,09-02-binary-search-tree-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-02-binary-search-tree-dominikb1888,3,1,0,0
316,09,03,09-03-book-store-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-03-book-store-dominikb1888,3,1,0,0
317,09,04,09-04-bowling-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-04-bowling-dominikb1888,3,1,0,0
318,09,05,09-05-custom-set-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-05-custom-set-dominikb1888,3,1,0,0
319,09,06,09-06-dot-dsl-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-06-dot-dsl-dominikb1888,3,1,0,0
320,09,07,09-07-forth-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-07-forth-dominikb1888,3,1,0,0
321,09,08,09-08-hangman-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-08-hangman-dominikb1888,3,1,0,0
322,09,09,09-09-knapsack-dominikb1888,dominikb1888,https://github.com/DB-Teaching/09-09-knapsack-dominikb1888,3,1,0,0
323,10,01,10-01-ledger-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-01-ledger-dominikb1888,7,3,2,2
324,02,01,02-01-queen-attack-Amit021,Amit021,https://github.com/DB-Teaching/02-01-queen-attack-Amit021,19,36,2,2
325,02,14,02-14-darts-OliviaA22,OliviaA22,https://github.com/DB-Teaching/02-14-darts-OliviaA22,4,2,1,1
326,02,12,02-12-rna-transcription-OliviaA22,OliviaA22,https://github.com/DB-Teaching/02-12-rna-transcription-OliviaA22,4,2,1,1
327,02,13,02-13-pig-latin-OliviaA22,OliviaA22,https://github.com/DB-Teaching/02-13-pig-latin-OliviaA22,4,2,1,1
328,03,01,03-01-phone-number-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-01-phone-number-OliviaA22,3,1,0,0
329,03,02,03-02-armstrong-numbers-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-02-armstrong-numbers-OliviaA22,3,1,0,0
330,03,03,03-03-nth-prime-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-03-nth-prime-OliviaA22,4,2,0,0
331,03,04,03-04-sum-of-multiples-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-04-sum-of-multiples-OliviaA22,4,2,1,1
332,03,05,03-05-prime-factors-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-05-prime-factors-OliviaA22,3,1,0,0
333,03,06,03-06-beer-song-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-06-beer-song-OliviaA22,4,2,1,1
334,03,07,03-07-flatten-array-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-07-flatten-array-OliviaA22,4,2,1,1
335,03,08,03-08-atbash-cipher-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-08-atbash-cipher-OliviaA22,3,1,0,0
336,03,09,03-09-series-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-09-series-OliviaA22,3,1,0,0
337,03,10,03-10-anagram-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-10-anagram-OliviaA22,4,2,1,1
338,03,12,03-12-list-ops-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-12-list-ops-OliviaA22,3,1,0,0
